0 t = 1.00 	 w = 0.0000000000000000000000e+00 	 y = 0.0000000000000000000000e+00 	 err = 0.0000000000000000000000e+00 
1 t = 1.10 	 w = 2.7182818284590454238625e-01 	 y = 3.4591987653973987892897e-01 	 err = 7.4091693693835336542719e-02 
2 t = 1.20 	 w = 6.8475557771540573881452e-01 	 y = 8.6664253575960303876968e-01 	 err = 1.8188695804419729995516e-01 
3 t = 1.30 	 w = 1.2769783442087028202394e+00 	 y = 1.6072150781807363895126e+00 	 err = 3.3023673397203356927321e-01 
4 t = 1.40 	 w = 2.0935476878376939602333e+00 	 y = 2.6203595512358317520807e+00 	 err = 5.2681186339813779184738e-01 
5 t = 1.50 	 w = 3.1874451224589206432825e+00 	 y = 3.9676662942277935997026e+00 	 err = 7.8022117176887295642018e-01 
6 t = 1.60 	 w = 4.6208178462795075347458e+00 	 y = 5.7209615255963397473238e+00 	 err = 1.1001436793168322125780e+00 
7 t = 1.70 	 w = 6.4663963777095956331209e+00 	 y = 7.9638734778449693507696e+00 	 err = 1.4974771001353737176487e+00 
8 t = 1.80 	 w = 8.8091196889434151273690e+00 	 y = 1.0793624660490639399768e+01 	 err = 1.9845049715472242723990e+00 
9 t = 1.90 	 w = 1.1747996543962477389300e+01 	 y = 1.4323081535891006410566e+01 	 err = 2.5750849919285290212656e+00 
10 t = 2.00 	 w = 1.5398235652779238336052e+01 	 y = 1.8683097081886415935514e+01 	 err = 3.2848614291071775994624e+00 

0 t = 1.04 	 est = 1.0873127313836181140339e-01 	 y = 1.1998749706134345660580e-01 	 err = 1.1256223922981645202412e-02
1 t = 1.55 	 est = 3.9041314843692140890141e+00 	 y = 4.7886350208013999107948e+00 	 err = 8.8450353643218582178065e-01
2 t = 1.97 	 est = 1.4303163920134210229662e+01 	 y = 1.7279298435557656432593e+01 	 err = 2.9761345154234462029308e+00

0 t = 1.00 	 w = 0.0000000000000000000000e+00 	 y = 0.0000000000000000000000e+00 	 err = 0.0000000000000000000000e+00 
1 t = 1.10 	 w = 3.3978522855738063634945e-01 	 y = 3.4591987653973987892897e-01 	 err = 6.1346479823592425795198e-03 
2 t = 1.20 	 w = 8.5214344927634666504446e-01 	 y = 8.6664253575960303876968e-01 	 err = 1.4499086483256373725226e-02 
3 t = 1.30 	 w = 1.5817695051947111561930e+00 	 y = 1.6072150781807363895126e+00 	 err = 2.5445572986025233319651e-02 
4 t = 1.40 	 w = 2.5809966497381613415030e+00 	 y = 2.6203595512358317520807e+00 	 err = 3.9362901497670410577712e-02 
5 t = 1.50 	 w = 3.9109845593456640244767e+00 	 y = 3.9676662942277935997026e+00 	 err = 5.6681734882129575225918e-02 
6 t = 1.60 	 w = 5.6430810358330205644961e+00 	 y = 5.7209615255963397473238e+00 	 err = 7.7880489763319182827672e-02 
7 t = 1.70 	 w = 7.8603816038664220400278e+00 	 y = 7.9638734778449693507696e+00 	 err = 1.0349187397854731074176e-01 
8 t = 1.80 	 w = 1.0659514480392740409798e+01 	 y = 1.0793624660490639399768e+01 	 err = 1.3411018009789898997042e-01 
9 t = 1.90 	 w = 1.4152682090376901058448e+01 	 y = 1.4323081535891006410566e+01 	 err = 1.7039944551410535211744e-01 
10 t = 2.00 	 w = 1.8469994482556337800361e+01 	 y = 1.8683097081886415935514e+01 	 err = 2.1310259933007813515360e-01 

0 t = 1.04 	 est = 1.3591409142295224343755e-01 	 y = 1.1998749706134345660580e-01 	 err = 1.5926594361608786831752e-02
1 t = 1.55 	 est = 4.7770327975893422944864e+00 	 y = 4.7886350208013999107948e+00 	 err = 1.1602223212057616308357e-02
2 t = 1.97 	 est = 1.7174800764902506955423e+01 	 y = 1.7279298435557656432593e+01 	 err = 1.0449767065514947717020e-01

0 t = 1.00 	 w = 0.0000000000000000000000e+00 	 y = 0.0000000000000000000000e+00 	 err = 0.0000000000000000000000e+00 
1 t = 1.10 	 w = 3.4591268884569875696755e-01 	 y = 3.4591987653973987892897e-01 	 err = 7.1876940411219614190941e-06 
2 t = 1.20 	 w = 8.6662572927868475325397e-01 	 y = 8.6664253575960303876968e-01 	 err = 1.6806480918285515713251e-05 
3 t = 1.30 	 w = 1.6071858864357371210474e+00 	 y = 1.6072150781807363895126e+00 	 err = 2.9191744999268465221576e-05 
4 t = 1.40 	 w = 2.6203148428161311400686e+00 	 y = 2.6203595512358317520807e+00 	 err = 4.4708419700612012093188e-05 
5 t = 1.50 	 w = 3.9676025388810867156053e+00 	 y = 3.9676662942277935997026e+00 	 err = 6.3755346706884097329748e-05 
6 t = 1.60 	 w = 5.7208747555903922688003e+00 	 y = 5.7209615255963397473238e+00 	 err = 8.6770005947478523466998e-05 
7 t = 1.70 	 w = 7.9637592441454838620984e+00 	 y = 7.9638734778449693507696e+00 	 err = 1.1423369948548867114368e-04 
8 t = 1.80 	 w = 1.0793477983219574412033e+01 	 y = 1.0793624660490639399768e+01 	 err = 1.4667727106498773537169e-04 
9 t = 1.90 	 w = 1.4322896848445472173239e+01 	 y = 1.4323081535891006410566e+01 	 err = 1.8468744553423732668307e-04 
10 t = 2.00 	 w = 1.8682868168009026277332e+01 	 y = 1.8683097081886415935514e+01 	 err = 2.2891387738965818243742e-04 
